draw_no,draw_date,week,day_of_week,is_hong_bao,win_1,win_2,win_3,win_4,win_5,win_6,additional,total_distributed,total_allocated,prize_pool,snowballed_1,snowballed_2,consecutive,discrepency
1335,"Thu, 12 Nov 1998",1998W46,4,0,1,2,22,25,28,39,4,904459,1404459,1439536,0,0,0,75616
1336,"Mon, 16 Nov 1998",1998W47,1,0,9,18,22,32,34,39,15,1484950,2180546,2184513,500000,0,1,-76646
1337,"Thu, 19 Nov 1998",1998W47,4,0,1,2,7,28,35,37,40,2403260,3668417,3834538,1195596,0,2,-1345
1338,"Mon, 23 Nov 1998",1998W48,1,0,7,23,34,36,42,43,37,11453121,8992368,9521025,2460753,0,3,-3229
1339,"Thu, 26 Nov 1998",1998W48,4,0,10,21,24,25,36,42,41,1441537,1441537,1534315,0,0,0,-912
1340,"Mon, 30 Nov 1998",1998W49,1,0,6,11,22,28,33,34,43,1583847,1583847,1583676,0,0,0,-398
1341,"Thu, 03 Dec 1998",1998W49,4,0,2,4,5,18,30,44,43,908680,1408680,1465385,0,0,0,49767
1342,"Mon, 07 Dec 1998",1998W50,1,0,8,18,23,24,37,39,41,2918563,2418563,2487751,500000,0,1,-50630
1343,"Thu, 10 Dec 1998",1998W50,4,0,1,5,10,18,30,31,23,1633630,1633630,1597000,0,0,0,-621
1344,"Mon, 14 Dec 1998",1998W51,1,0,12,17,20,21,41,44,25,1603522,1603522,1622267,0,0,0,-867
1345,"Thu, 17 Dec 1998",1998W51,4,0,8,14,16,19,20,29,23,1097932,1614988,1567594,0,0,0,-1400
1346,"Mon, 21 Dec 1998",1998W52,1,0,2,10,13,22,37,39,24,2869834,2352778,2419497,517056,0,1,-940
1347,"Thu, 24 Dec 1998",1998W52,4,0,5,11,13,21,22,34,37,1507322,1507322,1553239,0,0,0,-441
1348,"Mon, 28 Dec 1998",1998W53,1,0,3,4,7,10,35,36,1,1158294,1674386,1563981,0,0,0,-121
1349,"Thu, 31 Dec 1998",1998W53,4,0,5,8,17,21,36,37,1,2797817,2281725,2340007,516092,0,1,-1344
1350,"Mon, 04 Jan 1999",1999W01,1,0,1,5,11,36,38,41,23,1523957,1523957,1555010,0,0,0,-538
1351,"Thu, 07 Jan 1999",1999W01,4,0,3,8,12,15,31,38,29,1089646,1589646,1459451,0,0,0,55700
1352,"Mon, 11 Jan 1999",1999W02,1,0,15,16,17,18,24,37,35,1509713,2288357,2417085,500000,0,1,-57557
1353,"Thu, 14 Jan 1999",1999W02,4,0,6,15,22,27,34,36,31,5141878,3863234,4052117,1278644,0,2,-1446
1354,"Mon, 18 Jan 1999",1999W03,1,0,13,16,20,35,37,42,23,1022293,1567833,1653393,0,0,0,-446
1355,"Thu, 21 Jan 1999",1999W03,4,0,11,12,21,32,34,35,40,2991258,2445718,2475594,545540,0,1,-1120
1356,"Mon, 25 Jan 1999",1999W04,1,0,10,12,19,20,32,41,31,1622479,1622479,1631165,0,0,0,-361
1357,"Thu, 28 Jan 1999",1999W04,4,0,4,13,29,30,31,39,40,1567394,1567394,1600381,0,0,0,-882
1358,"Mon, 01 Feb 1999",1999W05,1,0,15,20,21,22,32,41,9,1008838,1520688,1551414,0,0,0,-652
1359,"Thu, 04 Feb 1999",1999W05,4,0,4,11,16,20,39,43,21,1384373,2125530,2246347,511850,0,1,-770
1360,"Mon, 08 Feb 1999",1999W06,1,0,7,12,13,16,29,34,2,5330424,4077417,4061551,1253007,0,2,-1102
1361,"Thu, 11 Feb 1999",1999W06,4,0,3,4,7,30,39,42,5,1718250,1718250,1699806,0,0,0,-1096
1362,"Mon, 15 Feb 1999",1999W07,1,0,5,6,12,17,22,29,34,1600628,1600628,1562900,0,0,0,-688
1363,"Thu, 18 Feb 1999",1999W07,4,0,7,14,15,17,32,41,23,1662245,1662245,1671271,0,0,0,-545
1364,"Mon, 22 Feb 1999",1999W08,1,0,2,8,11,28,32,42,6,2117044,2117044,1926408,0,0,0,-441
1365,"Thu, 25 Feb 1999",1999W08,4,0,10,12,21,26,31,38,40,1881590,1881590,1823153,0,0,0,-1043
1366,"Mon, 01 Mar 1999",1999W09,1,0,1,3,4,9,12,22,24,2053588,2053588,1727039,0,0,0,-324
1367,"Thu, 04 Mar 1999",1999W09,4,0,6,7,11,21,35,36,34,1824122,1824122,1831142,0,0,0,-978
1368,"Mon, 08 Mar 1999",1999W10,1,0,1,3,15,22,35,45,13,1180940,1791653,1851421,0,0,0,-1431
1369,"Thu, 11 Mar 1999",1999W10,4,0,13,14,29,31,33,39,38,3243316,2632603,2668824,610713,0,1,-2276
1370,"Mon, 15 Mar 1999",1999W11,1,0,5,14,21,26,38,45,13,1104182,1714069,1848624,0,0,0,-888
1371,"Thu, 18 Mar 1999",1999W11,4,0,11,22,27,28,32,43,35,3241319,2631432,2720350,609887,0,1,-730
1372,"Mon, 22 Mar 1999",1999W12,1,0,7,26,31,33,35,37,42,1122633,1725346,1826814,0,0,0,-759
1373,"Thu, 25 Mar 1999",1999W12,4,0,10,11,13,33,37,45,38,1645070,2543984,2724492,602713,0,1,-941
1374,"Mon, 29 Mar 1999",1999W13,1,0,24,28,34,35,40,41,4,6000511,4498884,4701978,1501627,0,2,-3221
1375,"Thu, 01 Apr 1999",1999W13,4,0,5,17,26,30,32,36,15,1186082,1794974,1845603,0,0,0,-878
1376,"Mon, 05 Apr 1999",1999W14,1,0,3,13,14,27,30,35,15,1794761,2709330,2772139,608892,0,1,-1325
1377,"Thu, 08 Apr 1999",1999W14,4,0,3,5,6,12,14,41,36,3021830,4497321,4472613,1523461,0,2,-2636
1378,"Mon, 12 Apr 1999",1999W15,1,0,1,2,8,17,20,22,25,16100538,13101586,12431841,2998952,0,3,-11120
1379,"Thu, 15 Apr 1999",1999W15,4,0,2,17,32,34,40,44,18,2876850,2876850,3138472,0,0,0,-933
1380,"Mon, 19 Apr 1999",1999W16,1,0,1,7,8,10,12,40,17,2796089,2796089,2478763,0,0,0,-1788
1381,"Thu, 22 Apr 1999",1999W16,4,0,12,19,20,30,36,41,26,2086662,2086662,2172600,0,0,0,-1046
1382,"Mon, 26 Apr 1999",1999W17,1,0,12,18,22,24,28,37,41,1370123,2055372,2076892,0,0,0,-701
1383,"Thu, 29 Apr 1999",1999W17,4,0,4,6,17,21,23,45,10,3635764,2950515,2957590,685249,0,1,-592
1384,"Mon, 03 May 1999",1999W18,1,0,1,4,27,32,35,38,3,1247671,1897205,1968563,0,0,0,-513
1385,"Thu, 06 May 1999",1999W18,4,0,1,14,25,32,33,34,44,3107370,2457836,2649439,649534,0,1,-340
