draw,group,outlet,quickpick,bet_type
1338,Group 1,Nan Huat Wine Store - Blk 513 Bishan St 13 #01-508,1,System 7 Entry
1339,Group 1,Seng Yeok Chan Agency - Blk 338 Ang Mo Kio Ave 1 #01-1657,0,System Roll Entry
1340,Group 1,Milly Trading Store - Blk 374 Bukit Batok St 31 #01-186,1,Ordinary Entry
1340,Group 1,Papillon Florist Pte Ltd - Blk 133 Jalan Bukit Merah #01-1520,0,Ordinary Entry
1342,Group 1,Vijaya Darshana Agency - 810 Geylang Rd City Plaza #01-58/59,1,System 8 Entry
1342,Group 1,Chong Hoe Tong - Blk 21 Lor 7 Toa Payoh #01-290,0,System Roll Entry
1342,Group 1,Singapore Pools - Main Branch - 210 Middle Rd #01-01,0,System 8 Entry
1343,Group 1,NTUC FP Thomson Plaza - 301 Upp Thomson Rd Thomson Plaza #03-25/31,1,System 8 Entry
1344,Group 1,Clifford Gift Shop - Blk 532 Ang Mo Kio Ave 10 #01-2459,0,System 8 Entry
1346,Group 1,Mikki Gift Shop - Blk 846 Yishun Ring Rd #01-3657,1,Ordinary Entry
1346,Group 1,Tampines Trading - Blk 828 Tampines St 81 #01-234,0,System 7 Entry
1347,Group 1,Seah Koon Huat - Blk 116 Bukit Merah View #01-233,1,System 7 Entry
1347,Group 1,Sahira's Store - Blk 502 Jurong West Avenue 1 #01-811,0,System Roll Entry
1349,Group 1,Feng Yuen Agency Enterprise - 150 South Bridge Rd Fook Hai Building #B1-26,0,Ordinary Entry
1350,Group 1,Happy Photo Studio - 370 Tanjong Katong Rd,1,Ordinary Entry
1353,Group 1,NTUC FP Yung Kuang - Blk 63-66 Yung Kuang Road #01-119/02-119,1,Ordinary Entry
1355,Group 1,A N A Import & Export - 80 Marine Parade Rd Parkway Parade #B1-84,1,System 7 Entry
1356,Group 1,Clifford Gift Shop - Blk 532 Ang Mo Kio Ave 10 #01-2459,1,Ordinary Entry
1356,Group 1,NTUC FP Tanjong Pagar - Blk 5 Tanjong Pagar Rd Tanjong Pagar Plaza #01-01,0,System 7 Entry
1357,Group 1,Fatt Chye Heng Trading - Blk 7 Hougang Ave 3 #01-48,1,System 7 Entry
1357,Group 1,Tan Hang Yeow Agency - Block 5 #01-2017 Changi Village Road,1,Ordinary Entry
1360,Group 1,Ng Kian Chuan - Blk 84 Redhill Lane #01-360,1,System 7 Entry
1360,Group 1,Ng Teo Guan Self Service - Blk 301 Ubi Ave 1 #01-251,0,System 7 Entry
1360,Group 1,Whampoa Tat Lee Trading - 865 Mountbatten Rd Katong Shopping Centre #01-26,0,System 7 Entry
1361,Group 1,Subramaniam Store - 100 Eu Tong Sen St Pearl's Centre #01-30,1,System 7 Entry
1361,Group 1,Milly Trading Store - Blk 374 Bukit Batok St 31 #01-186,0,System 7 Entry
1362,Group 1,NTUC FP Hougang Mall - 90 Hougang Ave 10 NTUC Hougang Mall #B1-07,1,Ordinary Entry
1362,Group 1,Lee Eng Trading Store - Blk 201B Tampines St 21 #01-1083,0,System 10 Entry
1362,Group 1,NTUC FP Thomson Plaza - 301 Upp Thomson Rd Thomson Plaza #03-25/31,0,System 8 Entry
1363,Group 1,7-Eleven Yishun - Blk 102 Yishun Ave 5 #01-137,0,System Roll Entry
1363,Group 1,Seah Koon Huat - Blk 116 Bukit Merah View #01-233,0,System 7 Entry
1364,Group 1,7-Eleven Upp Thomson - 912 Upp Thomson Rd,1,Ordinary Entry
1364,Group 1,NTUC FP Hougang St 21 - Blk 202 Hougang St 21 #01-00,0,System 7 Entry
1365,Group 1,S E Store - Blk 352 Jurong East St 31 #01-121,1,Ordinary Entry
1365,Group 1,7-Eleven Jln Leban - 6 Jln Leban Sembawang Hill Estates,1,Ordinary Entry
1366,Group 1,Tampines Trading - Blk 828 Tampines St 81 #01-234,1,System 7 Entry
1366,Group 1,Tan Kim Hock Trading - Blk 138 Tampines St 11 #01-96,1,Ordinary Entry
1366,Group 1,Koh Yong Hong Trading Co - 144 Upp Bukit Timah Rd Beauty World Centre #01-23,1,Ordinary Entry
1366,Group 1,Kis Store - 3 Pickering Street (South Bridge Road) #01-49,0,System 10 Entry
1366,Group 1,Chong Hoe Tong - Blk 21 Lor 7 Toa Payoh #01-290,0,System 7 Entry
1367,Group 1,NTUC FP Serangoon North - Blk 152B Serangoon North Ave 1 #01-384,0,System 8 Entry
1369,Group 1,NTUC FP Yung Kuang - Blk 63-66 Yung Kuang Road #01-119/02-119,0,System 8 Entry
1369,Group 1,7-Eleven Yishun - Blk 102 Yishun Ave 5 #01-137,0,System 7 Entry
1371,Group 1,NTUC FP Toa Payoh - Blk 192 Lor 4 Toa Payoh #02-674,1,System 7 Entry
1374,Group 1,Muthiah Pushpavalli Trading - Blk 502 Jurong West Ave 1 #01-811,1,System 7 Entry
