draw,group,shareAmount,numberOfShares,snowballed,cascaded
1335,Group 1,500000,0,,
1335,Group 2,187090,1,,
1335,Group 3,1853,101,,
1335,Group 4,709,264,,
1335,Group 5,30,5964,,
1335,Group 6,20,8206,,
1336,Group 1,1195596,0,500000,
1336,Group 2,70976,4,,
1336,Group 3,1340,212,,
1336,Group 4,461,616,,
1336,Group 5,30,10085,,
1336,Group 6,20,16522,,
1337,Group 1,2460753,0,1195596,
1337,Group 2,49840,10,,
1337,Group 3,1558,320,,
1337,Group 4,570,875,,
1337,Group 5,30,17131,,
1337,Group 6,20,19681,,
1338,Group 1,5602114,1,2460753,
1338,Group 2,42673,29,,
1338,Group 3,1555,796,,
1338,Group 4,565,2192,,
1338,Group 5,30,38351,,
1338,Group 6,20,49335,,
1339,Group 1,506161,1,,
1339,Group 2,49850,4,,
1339,Group 3,1247,160,,
1339,Group 4,686,291,,
1339,Group 5,30,5971,,
1339,Group 6,20,7885,,
1340,Group 1,261271,2,,
1340,Group 2,68617,3,,
1340,Group 3,958,215,,
1340,Group 4,602,342,,
1340,Group 5,30,8982,,
1340,Group 6,20,8707,,
1341,Group 1,500000,0,,
1341,Group 2,95244,2,,
1341,Group 3,1549,123,,
1341,Group 4,765,249,,
1341,Group 5,30,6766,,
1341,Group 6,20,6710,,
1342,Group 1,434750,3,500000,
1342,Group 2,46187,7,,
1342,Group 3,1020,317,,
1342,Group 4,597,542,,
1342,Group 5,30,11715,,
1342,Group 6,20,14632,,
1343,Group 1,526899,1,,
1343,Group 2,17298,12,,
1343,Group 3,1038,200,,
1343,Group 4,405,513,,
1343,Group 5,30,9067,,
1343,Group 6,20,10589,,
1344,Group 1,535193,1,,
1344,Group 2,42167,5,,
1344,Group 3,1122,188,,
1344,Group 4,533,396,,
1344,Group 5,30,7311,,
1344,Group 6,20,10808,,
1345,Group 1,517056,0,,
1345,Group 2,101845,2,,
1345,Group 3,1073,190,,
1345,Group 4,556,367,,
1345,Group 5,30,9308,,
1345,Group 6,20,10354,,
1346,Group 1,657661,2,517056,
1346,Group 2,39309,8,,
1346,Group 3,1120,281,,
1346,Group 4,535,588,,
1346,Group 5,30,10950,,
1346,Group 6,20,14112,,
1347,Group 1,256245,2,,
1347,Group 2,50473,4,,
1347,Group 3,1092,185,,
1347,Group 4,762,265,,
1347,Group 5,30,7593,,
1347,Group 6,20,8060,,
1348,Group 1,516092,0,,
1348,Group 2,101655,2,,
1348,Group 3,1189,171,,
1348,Group 4,335,607,,
1348,Group 5,30,8506,,
1348,Group 6,20,14657,,
1349,Group 1,1288054,1,516092,
1349,Group 2,23393,13,,
1349,Group 3,1402,217,,
1349,Group 4,525,580,,
1349,Group 5,30,10432,,
1349,Group 6,20,14198,,
1350,Group 1,513057,1,,
1350,Group 2,25265,8,,
1350,Group 3,1394,145,,
1350,Group 4,476,425,,
1350,Group 5,30,6917,,
1350,Group 6,20,9842,,
1351,Group 1,500000,0,,
1351,Group 2,63198,3,,
1351,Group 3,916,207,,
1351,Group 4,413,460,,
1351,Group 5,30,10172,,
1351,Group 6,20,10765,,
1352,Group 1,1278644,0,500000,
1352,Group 2,52353,6,,
1352,Group 3,1455,216,,
1352,Group 4,615,511,,
1352,Group 5,30,10019,,
1352,Group 6,20,13324,,
1353,Group 1,2615584,1,1278644,
1353,Group 2,43890,12,,
1353,Group 3,1606,328,,
1353,Group 4,578,912,,
1353,Group 5,30,16991,,
1353,Group 6,20,21799,,
1354,Group 1,545540,0,,
1354,Group 2,53728,4,,
1354,Group 3,1937,111,,
1354,Group 4,616,349,,
1354,Group 5,30,6045,,
1354,Group 6,20,9802,,
1355,Group 1,1362286,1,545540,
1355,Group 2,53625,6,,
1355,Group 3,1293,249,,
1355,Group 4,675,477,,
1355,Group 5,30,12475,,
1355,Group 6,20,14452,,
1356,Group 1,269110,2,,
1356,Group 2,53007,4,,
1356,Group 3,1185,179,,
1356,Group 4,516,411,,
1356,Group 5,30,8004,,
1356,Group 6,20,10396,,
1357,Group 1,263984,2,,
1357,Group 2,34665,6,,
1357,Group 3,1530,136,,
1357,Group 4,444,469,,
1357,Group 5,30,7376,,
1357,Group 6,20,9692,,
1358,Group 1,511850,0,,
1358,Group 2,33607,6,,
1358,Group 3,1133,178,,
1358,Group 4,534,378,,
1358,Group 5,30,6847,,
1358,Group 6,20,9913,,
1359,Group 1,1253007,0,511850,
1359,Group 2,58395,5,,
1359,Group 3,1570,186,,
1359,Group 4,678,431,,
1359,Group 5,30,9010,,
1359,Group 6,20,11893,,
1360,Group 1,864374,3,1253007,
1360,Group 2,35195,15,,
1360,Group 3,1351,391,,
1360,Group 4,474,1114,,
1360,Group 5,30,19610,,
1360,Group 6,20,28240,,
1361,Group 1,280370,2,,
1361,Group 2,44180,5,,
1361,Group 3,1381,160,,
1361,Group 4,460,481,,
1361,Group 5,30,7487,,
1361,Group 6,20,13489,,
1362,Group 1,171878,3,,
1362,Group 2,67710,3,,
1362,Group 3,813,250,,
1362,Group 4,491,414,,
1362,Group 5,30,9274,,
1362,Group 6,20,9856,,
1363,Group 1,275711,2,,
1363,Group 2,27154,8,,
1363,Group 3,1126,193,,
1363,Group 4,427,509,,
1363,Group 5,30,7175,,
1363,Group 6,20,12184,,
1364,Group 1,317818,2,,
1364,Group 2,35772,7,,
1364,Group 3,726,345,,
1364,Group 4,362,692,,
1364,Group 5,30,12859,,
1364,Group 6,20,17213,,
1365,Group 1,300727,2,,
